GENESIS-Tabelle: 12711-91-01-5-B
Zu- und Fortzüge (über Gemeindegrenzen) - Jahressumme -;;;;
regionale Tiefe: Gemeinden;;;;
Wanderungsstatistik;;;;
;;;Zuzüge über die Gemeindegrenzen;Fortzüge über die Gemeindegrenzen
;;;Anzahl;Anzahl
2021;05366044;Zülpich;1245;991
__________
"zu ""gesamte Tabelle"":
2015: Differenzen resultieren aus Korrekturen in der Bundes-
veröffentlichung für ein ausgeglichenen Binnenwanderungs-
saldo innerhalb Deutschlands.

Alle Länder: Die Ergebnisse ab dem Berichtsjahr 2016 sind
aufgrund methodischer Änderungen in den zugrunde liegenden
Bevölkerungsbewegungsstatistiken nur bedingt mit den Werten
vor 2016 vergleichbar. Einschränkungen bei der Genauigkeit
der Ergebnisse können aus der erhöhten Zuwanderung und den
dadurch bedingten Problemen bei der melderechtlichen Erfas-
sung Schutzsuchender resultieren.

Baden-Württemberg (Berichtsjahr 2008-2010): Gebietsstand
01.01.2009
Baden-Württemberg (ab Berichtsjahr 2011): Gebietsstand
01.01.2011
Berlin: Wanderungen über die Landesgrenze von Berlin
Berlin: Gemeindetabelle liegt bis 2013 auch für Bezirke vor
Nordrhein-Westfalen (2014): In der kreisfreien Stadt Essen
ist im Jahr 2014 die Zahl der Zuzüge insgesamt und damit
auch der Wanderungssaldo aufgrund von fehlerhaften Daten-
lieferungen an IT.NRW um etwa 3.200 Fälle überhöht. Die
Korrekturen konnten in der Wanderungsstatistik 2014 nicht
mehr eingearbeitet werden; in der Bevölkerungsfortschreibung
zum 31.12.2014 werden sie dagegen berücksichtigt.
Rheinland-Pfalz (ab 2011): Gebietsstand des Folgejahres
Saarland (von 2011 bis 2015): Ergebnisse der Wanderungen mit
Ereignisdatum nach dem 09.05.2011
Sachsen: ohne die im Hinblick auf das Herkunfts- bzw. Ziel-
gebiet innerhalb des Bundesgebietes ungeklärten Fälle und
Fälle ohne Angabe
Sachsen-Anhalt (2010): ""Die Differenz zwischen dem Ergebnis
für Deutschland und der Summe der Länder beruht auf unter-
schiedlichen Gebietsständen. Deutschland: Gebietsstand für
Sachsen-Anhalt 31.12.2010, Sachsen-Anhalt 01.01.2011"""
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 25.09.2023 / 16:21:38
